Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,4.750000,4.850000,4.500000,4.710000,4.710000,23800
2018-01-23,4.800000,4.800000,4.550000,4.560000,4.560000,37600
2018-01-24,4.580000,4.800000,4.510000,4.620000,4.620000,24000
2018-01-25,4.630000,4.700000,4.400000,4.420000,4.420000,51100
2018-01-26,4.460000,4.670000,4.350000,4.480000,4.480000,48600
2018-01-29,4.490000,4.560000,4.270000,4.370000,4.370000,25400
2018-01-30,4.450000,4.450000,4.030000,4.090000,4.090000,40600
2018-01-31,4.110000,4.170000,4.010000,4.040000,4.040000,20700
2018-02-01,4.030000,4.240000,4.030000,4.100000,4.100000,2500
2018-02-02,4.120000,4.120000,3.850000,3.900000,3.900000,24800
2018-02-05,3.860000,4.030000,3.610000,3.620000,3.620000,26500
2018-02-06,3.530000,4.000000,3.530000,3.680000,3.680000,12200
2018-02-07,3.720000,3.860000,3.710000,3.730000,3.730000,3900
2018-02-08,3.690000,3.850000,3.640000,3.640000,3.640000,1200
2018-02-09,3.800000,3.800000,3.630000,3.700000,3.700000,2100
2018-02-12,3.700000,3.710000,3.660000,3.660000,3.660000,900
2018-02-13,3.700000,3.710000,3.540000,3.690000,3.690000,13900
2018-02-14,3.600000,3.740000,3.600000,3.730000,3.730000,10200
2018-02-15,3.600000,4.070000,3.600000,3.860000,3.860000,93800
2018-02-16,3.800000,3.920000,3.620000,3.730000,3.730000,48000
2018-02-20,3.760000,3.880000,3.760000,3.860000,3.860000,2800
2018-02-21,3.670000,3.860000,3.660000,3.720000,3.720000,2900
2018-02-22,3.800000,3.910000,3.800000,3.910000,3.910000,900
2018-02-23,3.810000,3.900000,3.700000,3.700000,3.700000,6700
2018-02-26,3.700000,3.780000,3.680000,3.710000,3.710000,4300
2018-02-27,3.730000,4.040000,3.550000,3.560000,3.560000,130800
2018-02-28,3.660000,3.770000,3.460000,3.460000,3.460000,31300
2018-03-01,3.600000,3.710000,3.590000,3.620000,3.620000,12000
2018-03-02,3.590000,4.100000,3.520000,3.850000,3.850000,90100
2018-03-05,3.960000,3.960000,3.690000,3.730000,3.730000,16100
2018-03-06,3.770000,4.230000,3.770000,4.120000,4.120000,24000
2018-03-07,4.120000,4.340000,4.080000,4.080000,4.080000,15000
2018-03-08,4.080000,4.190000,4.000000,4.000000,4.000000,1600
2018-03-09,4.150000,4.330000,4.100000,4.150000,4.150000,7000
2018-03-12,4.200000,4.300000,4.100000,4.160000,4.160000,28700
2018-03-13,4.290000,4.290000,4.110000,4.190000,4.190000,1000
2018-03-14,4.130000,4.230000,4.010000,4.020000,4.020000,6500
2018-03-15,4.060000,4.740000,4.060000,4.430000,4.430000,260000
2018-03-16,4.500000,4.710000,4.130000,4.190000,4.190000,46300
2018-03-19,4.140000,4.410000,4.100000,4.140000,4.140000,21800
2018-03-20,4.200000,4.400000,4.200000,4.350000,4.350000,6500
2018-03-21,4.380000,4.550000,4.300000,4.300000,4.300000,21600
2018-03-22,4.400000,4.490000,4.170000,4.320000,4.320000,4700
2018-03-23,4.400000,4.400000,3.700000,3.700000,3.700000,48900
2018-03-26,3.720000,3.830000,3.720000,3.730000,3.730000,8100
2018-03-27,3.740000,3.980000,3.740000,3.760000,3.760000,11200
2018-03-28,3.750000,4.080000,3.600000,3.710000,3.710000,74500
2018-03-29,3.660000,3.890000,3.610000,3.630000,3.630000,9900
2018-04-02,3.740000,3.740000,3.600000,3.650000,3.650000,7300
2018-04-03,3.650000,3.650000,3.500000,3.600000,3.600000,23100
2018-04-04,3.600000,3.990000,3.550000,3.750000,3.750000,35100
2018-04-05,3.820000,4.190000,3.720000,3.750000,3.750000,86800
2018-04-06,3.900000,4.030000,3.720000,3.810000,3.810000,5200
2018-04-09,3.830000,3.920000,3.650000,3.690000,3.690000,4200
2018-04-10,3.800000,3.850000,3.710000,3.720000,3.720000,2400
2018-04-11,3.710000,3.850000,3.710000,3.850000,3.850000,1000
2018-04-12,3.800000,3.960000,3.760000,3.770000,3.770000,2000
2018-04-13,3.940000,3.940000,3.730000,3.730000,3.730000,8700
2018-04-16,3.800000,3.820000,3.730000,3.810000,3.810000,4400
